id,lat,lon,mean_tmin
USC00136199,42.68,-91.875,2.4110978163326355
USC00202984,44.6483,-86.2097,5.068867512024485
USW00014853,42.2367,-83.5264,5.168735346848709
USC00205451,42.0811,-83.6769,4.294156817046778
USC00327704,48.3542,-99.9925,-1.7333530805687212
USW00093821,38.1775,-85.7308,10.075975359342918
USC00140439,39.7994,-101.0422,2.913432009959884
USC00141522,37.8133,-100.3456,5.430744958156127
USC00143686,38.6644,-94.89,9.384709409594096
USC00131635,41.795,-90.2642,5.413592500689276
USR0000MORR,48.0189,-92.8572,-1.5293261231281203
USW00094911,42.8786,-97.3636,2.9217685159110105
USC00143594,38.6653,-96.9492,5.946092990978487
USC00394956,45.7475,-102.7969,-2.8206461383139834
USC00057167,38.0383,-103.6947,2.4568679036278027
USR0000SMAG,43.3181,-101.1444,3.3971273938384696
USC00218947,45.8622,-96.5653,0.17931786326117413
USW00014839,42.955,-87.9044,5.443285420944558
USC00234544,40.2058,-92.5747,5.365646098288588
USC00157130,37.7392,-83.0672,6.515503332164152
USC00217149,46.4808,-96.2869,0.3024613117170227
USC00253050,41.43,-96.4669,4.3912268677176165
USC00331390,40.5689,-84.5369,6.087807235570281
USC00478827,43.5594,-90.8761,1.9800309815518937
USC00205073,45.9511,-86.2514,1.464007728401876
USC00218039,45.0456,-92.8522,2.124958123953099
USC00148061,38.4331,-96.5578,6.9784946236559104
USW00094870,40.0325,-88.2756,5.879545767377839
USC00202016,42.3469,-83.1736,5.659222682382925
USC00213417,48.1603,-90.8842,-2.8992018244013678
USC00338830,39.1114,-82.9797,6.12960339943343
USC00120200,41.6639,-85.0183,3.8917471708528852
USC00128784,40.2233,-86.1086,4.849038594549732
USC00477115,45.6528,-89.3075,-0.9061635475996743
USR0000NWAT,47.7803,-103.2867,0.36498260264439747
USC00236402,38.0492,-93.7039,8.429660144181256
USR0000NSCO,41.8167,-103.7,3.764349300551082
USC00478316,42.9675,-88.5494,3.1198719772403978
USR0000NJCL,48.37,-100.43,-1.3606537029375265
USW00014927,44.9322,-93.0558,3.7050089445438275
USW00094950,43.7742,-98.0383,2.903385416666668
USW00004849,41.3464,-82.1789,5.919583792723264
USC00210939,46.3433,-94.2086,-0.7325292707010861
USC00396636,44.5169,-102.2153,-0.266233020853262
USW00093967,37.0911,-95.5725,9.011186020913593
USC00471062,43.0522,-88.1775,3.4619946933041974
USC00142459,38.7297,-98.225,5.661232187761945
USC00208972,42.4356,-83.7831,3.256238844718482
USC00461220,38.9803,-80.22,4.950640033760022
USC00325993,48.1803,-101.2964,-0.929025512337934
USW00014880,42.4256,-87.8633,4.479611516737843
USW00063838,38.0944,-84.7464,7.9207471739729804
USC00110442,42.1153,-88.1639,4.320863309352519
USC00141383,38.7978,-99.7231,4.846146703806871
USC00219249,44.2997,-92.6656,1.1570577724836217
USC00461290,39.6467,-80.4067,3.9890940656565665
USC00232591,39.1558,-90.7831,6.68313605143943
USC00463544,38.9339,-80.8317,5.952819767441861
USC00256454,40.3283,-99.6522,3.1990576496674064
USC00468662,38.6603,-80.6964,6.258870255957634
USC00231580,39.775,-93.5358,6.114413793103446
USC00394007,43.4378,-103.4739,1.2097956730769224
USC00478171,44.5114,-89.5853,1.8132502055357629
USW00003935,37.2256,-89.5786,8.580016447368422
USC00141874,39.7811,-97.8956,5.597843898231997
USW00093822,39.8453,-89.6839,6.788648204003291
USC00211771,47.8947,-92.5336,-1.9919226885907984
USC00117952,39.9678,-87.8228,5.717777777777776
USC00463361,38.665,-80.7672,6.266619156214371
USC00111290,38.625,-89.3631,7.732250646737571
USC00253605,41.6331,-103.9542,0.09356660697065672
USC00145530,38.1347,-94.8156,6.4781934912552614
USC00204659,43.0572,-83.3603,3.967079321412196
USC00333375,40.1033,-84.6503,5.458771684387241
USC00472001,42.6783,-90.1061,2.3138083735909825
USW00094037,45.6042,-103.5469,1.0103310344827587
USC00143810,39.6678,-95.52,5.7078509458114075
USC00236641,37.7342,-89.92,6.8748904283896515
USR0000MSPI,46.4578,-85.6272,-1.6290311173974539
USC00152791,38.1228,-83.5328,7.124475138121546
USW00024015,40.1744,-103.2147,2.8821487831858428
USC00143218,38.3711,-98.8186,5.941824817518248
USC00475932,44.3586,-88.7189,1.9545669072737373
USC00258915,42.3017,-96.9003,2.39600298284862
USC00472973,43.975,-89.8308,1.567201898910919
USC00145421,37.5922,-100.4389,5.283665008291876
USC00145536,37.1881,-95.4503,7.113951890034368
USW00014804,42.6083,-82.8183,4.480947028242238
USC00256200,41.1275,-101.7206,2.7350551444925326
USC00156136,37.8175,-82.7883,6.554978475211775
USC00335438,41.5892,-84.5858,3.9361746847267636
USC00469482,40.0567,-80.7283,6.226211940806257
USC00206507,45.3725,-84.9767,3.261376619757559
USC00251560,41.1269,-98.0222,4.456260229132571
USC00471064,44.1614,-88.0803,2.0384130464574484
USC00117187,38.0406,-88.9883,8.661154244306422
USC00154138,37.8725,-82.5194,6.207861890095638
USC00258410,40.2381,-96.0847,4.580096352374401
USC00143759,39.4578,-95.755,4.999045599151642
USC00231924,39.8536,-94.7078,5.600439238652999
USC00393316,45.4008,-101.8103,0.2309587123862843
USC00320626,48.8411,-99.7514,-3.1335939943697224
USW00013985,37.7608,-99.9689,6.067652292950036
USC00138755,43.3156,-91.4533,2.474170935562147
USC00259200,41.845,-96.7142,3.428217075510484
USC00213303,47.2436,-93.4975,-0.6499440559440562
USC00399367,43.3686,-99.8403,2.352442671984048
USC00326365,46.8925,-101.4897,-1.3292402464065711
USC00111577,41.7372,-87.7772,7.054279063398602
USC00132209,41.7367,-93.7236,5.0391082274986205
USW00094973,46.0303,-91.4425,-0.6335473963423138
USC00206680,42.975,-82.4194,6.03775268367489
USC00251149,41.5639,-103.3678,0.3856925186652451
USC00256385,41.4014,-102.3464,1.3775816903350335
USC00258751,42.8753,-100.5517,2.690302230046948
USW00023020,37.05,-100.9667,5.910577281191806
USC00395360,43.7447,-97.3081,1.3274883795480048
USC00052932,39.2814,-103.062,2.7808745177291936
USC00130149,40.7039,-93.3703,4.207852468768591
USC00134561,43.4033,-95.3083,2.3944990176817296
USC00259045,42.2297,-97.0278,2.6606088703446127
USR0000NSCK,46.5456,-103.5183,0.6572693318577947
USC00234825,37.685,-92.6939,8.141871554164807
USW00004963,43.0192,-91.1236,4.528470588235295
USW00014895,40.9181,-81.4433,5.958370978781658
USC00390565,44.9906,-103.9339,-0.4531391260673018
USW00013920,38.9414,-95.6514,6.947685505043525
USC00230608,40.2569,-94.0281,5.232275132275133
USC00231340,39.3594,-93.4886,6.453561373873876
USC00251345,41.7667,-99.1767,2.600844667143881
USR0000MDET,46.8489,-95.8464,-0.20690290574061018
USC00200770,46.8325,-87.7503,1.3697040239441307
USC00215838,45.01,-93.3792,2.8822979659153387
USW00014898,44.4986,-88.1111,2.888090349075975
USW00094085,44.0194,-100.3531,2.1163460081805785
USC00145363,39.1247,-97.7047,6.178307966543261
USC00337693,40.2706,-84.1508,4.645293152319858
USC00207820,44.0125,-83.8978,2.428805073431242
USC00338794,39.5353,-83.4239,6.4232232441471595
USC00127935,38.9542,-85.9044,7.129999999999996
USC00238770,39.2097,-93.5297,7.529273588630083
USC00110072,41.2069,-90.7419,4.517404129793511
USC00206012,44.8831,-85.6753,4.576856435643564
USC00234136,38.0997,-92.3097,7.9002815139193014
USC00147534,37.4828,-96.9375,6.924692579505302
USC00214861,45.9647,-94.8892,-0.7966930813776287
USR0000IBAI,41.6317,-87.0878,5.9794790725685045
USC00156595,37.3997,-87.7622,8.288191307057176
USC00202437,42.5181,-84.6522,4.4910397484841695
USC00214990,43.5244,-91.7614,0.527905236907731
USC00324102,46.9075,-102.0383,-1.4689772245013448
USW00053841,38.1847,-84.9039,7.7578529371491145
USC00141428,37.6728,-95.3783,7.689184975194899
USC00201502,42.3264,-84.0133,4.119029799029799
USC00325730,47.5808,-98.6422,-0.6404198740377887
USW00094041,47.6461,-101.4406,-0.9785076267692729
USC00203278,42.9164,-83.5097,3.5254429678848282
USC00214778,45.1281,-94.5347,0.75935016036815
USC00462522,37.9494,-82.4047,7.465507000424271
USC00115097,41.8128,-88.0728,4.1433301647655245
USC00134142,42.5189,-93.2536,2.6565351245452002
USW00063849,37.2503,-86.2325,9.196099972535018
USC00110137,38.8669,-90.1489,8.924165625557738
USC00118293,42.3997,-89.9903,3.6782872091422285
USW00013991,39.1342,-93.2225,6.852585850227555
USC00136316,41.0194,-93.7503,3.8499930680715386
USW00004853,41.5256,-81.6692,8.285756097560977
USC00238051,39.9703,-91.8875,6.560167050691246
USC00054945,40.5147,-102.9908,1.9926035921368985
USC00203628,44.6497,-83.2958,2.675710702341137
USC00236745,38.8106,-94.2644,7.47319703122812
USC00203529,44.4633,-83.7217,1.6444280442804422
USC00252000,41.7608,-102.4378,1.4904027420736934
USC00255810,40.6986,-95.8867,4.818217488789236
USC00054724,37.9822,-103.5439,3.0420481424794783
USC00478267,44.88,-87.3358,2.556569393067543
USC00207364,46.4892,-84.3194,-0.12985054161524714
USC00122731,37.965,-87.5731,10.231268255188319
USC00200089,46.6447,-88.4811,-0.5223181257706533
USW00023908,37.4278,-94.5828,7.793621042683887
USC00145039,38.3781,-97.0753,7.0166479190101185
USC00250030,42.4244,-103.7347,-0.8599376682249614
USC00335505,41.2986,-80.7642,4.572719751809719
USC00136800,43.0861,-95.6292,3.8617837078651687
USC00114780,40.9025,-90.2897,4.844854730213257
USC00233416,40.3503,-92.9492,4.356365631859517
USC00335786,39.9317,-84.0328,5.203888130968623
USC00115372,41.3283,-88.7533,4.146537162162164
USC00396712,45.9033,-100.2878,0.41545840756475244
USC00122096,40.8483,-84.93,5.175243609659652
USC00479319,43.6072,-89.7633,1.5537393456145157
USR0000MCLK,47.3778,-94.615,-0.7798233508142423
USR0000MKAB,48.4417,-93.05,0.4216027874564459
USC00141762,39.5389,-97.6558,10.610121457489866
USC00216361,46.9417,-95.0811,2.020654044750432
USC00217326,43.9903,-94.6122,2.206927881885293
USC00138806,42.4686,-93.7975,2.2281400137268363
USW00004857,41.7794,-80.6969,4.890072972600854
USC00214884,44.9786,-93.2469,3.5091727864763755
USC00128036,38.5528,-86.7944,6.460946745562129
USC00147756,38.7994,-94.6931,5.145081967213113
USC00215638,45.59,-95.8744,0.5427197802197795
USC00473391,42.9375,-88.0297,2.369920623868542
USW00093824,39.9461,-81.8931,6.157270601183105
USC00336949,41.1367,-81.2844,5.317710350763934
USC00147093,39.7675,-101.8067,3.318996415770607
USC00478229,42.9111,-89.2131,2.9623781676413268
USC00235027,37.3908,-93.9492,7.51530234471411
USC00324013,47.8083,-99.8758,-1.4064251639833032
USC00202250,41.9856,-86.1319,4.193383167220377
USW00054937,46.7703,-99.4778,-0.9485079688029846
USC00123091,39.4683,-86.0411,5.570474463584164
USC00336781,38.7569,-82.8872,6.761160777635875
USC00144104,38.2547,-95.75,7.436253390777088
USC00237963,40.2472,-93.7158,5.439963707426019
USR0000SMRU,43.875,-103.4583,3.657245774452757
USW00004895,44.55,-89.5333,0.13899730820995795
USC00155243,38.6869,-83.7872,6.877707208637658
USC00200552,42.3678,-85.2633,3.964692517418964
USC00253652,42.3844,-96.9883,2.7698481187435284
USC00121326,39.88,-86.0514,6.840220231429641
USC00134874,41.8264,-96.0506,2.416444506805107
USC00211227,45.5564,-93.2347,1.0520557869951084
USC00144712,39.0294,-98.13,4.9270088057237205
USC00396948,44.0728,-103.2108,3.2349399254246656
USW00094993,45.6689,-96.9919,1.13653951701427
USC00252595,41.9872,-98.0747,3.176539426023962
USC00256135,42.0669,-97.9653,2.5253497942386827
USC00113262,42.2972,-89.6039,3.548692041522492
USC00217460,46.7953,-93.3211,0.0100887812752221
USC00325813,46.9161,-103.5264,-1.2138862855357702
USW00004858,40.0264,-82.4633,5.63928223675059
USC00238805,38.6989,-90.6828,7.301582714010459
USC00258755,42.5703,-100.6933,3.9670225043277556
USC00472842,43.7667,-88.4664,4.377959791511539
USC00131533,40.7242,-95.0192,3.725986842105262
USC00219072,44.0875,-91.6703,3.3260002749896875
USC00253065,40.6558,-97.2208,4.048899907034396
USC00258806,42.7189,-98.2158,1.752553956834532
USW00004994,48.3056,-95.8744,-2.4840539796199383
USC00211074,46.3003,-92.5336,-0.7953485084122722
USC00474482,43.0803,-88.8967,3.5284692614495943
USW00003067,38.87,-100.9628,3.8218790403677634
USC00127959,39.1614,-87.2436,6.555742887249738
USC00143855,37.1639,-101.34,5.33990024937656
USC00368361,41.8161,-80.425,3.6845594290419985
USW00093981,37.2,-93.3,8.102063592335227
USC00394516,43.9025,-99.8581,1.9851183920704853
USC00399347,43.5561,-103.4794,1.237415843002435
USC00478027,45.8236,-91.8761,0.5209971236816877
USR0000NAGA,42.425,-103.7358,-0.8253604001176813
USC00057519,39.295,-102.8678,1.787044259793117
